CUO,Continental Materials Corporation,$19.53M,United States,n/a,Building Materials,AMEX
CMT,Core Molding Technologies Inc,$93.67M,United States,n/a,Plastic Products,AMEX
CVRS,"Corindus Vascular Robotics, Inc.",$126.07M,United States,2015,Medical/Dental Instruments,AMEX
CRMD,CorMedix Inc,$84.88M,United States,n/a,Major Pharmaceuticals,AMEX
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",$120.2M,United States,n/a,n/a,AMEX
CLM,"Cornerstone Strategic Value Fund, Inc.",$307.62M,United States,1987,n/a,AMEX
CVU,"CPI Aerostructures, Inc.",$59.44M,United States,n/a,Military/Government/Technical,AMEX
CIK,"Credit Suisse Asset Management Income Fund, Inc.",$144.8M,United States,n/a,n/a,AMEX
DHY,Credit Suisse High Yield Bond Fund,$218.79M,United States,1998,n/a,AMEX
CRHM,CRH Medical Corporation,$228M,n/a,2015,Medical/Dental Instruments,AMEX
CRVP,"Crystal Rock Holdings, Inc.",$15.57M,United States,n/a,Food Distributors,AMEX
DAKP,"Dakota Plains Holdings, Inc.",$5.5M,United States,n/a,Oil Refining/Marketing,AMEX
DXR,Daxor Corporation,$31.2M,United States,n/a,Medical/Dental Instruments,AMEX
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",$72.27M,United States,1993,n/a,AMEX
VFL,Delaware Investments Florida Insured Municipal Income Fund,$61.95M,United States,1993,n/a,AMEX
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",$167.28M,United States,1993,n/a,AMEX
DLA,"Delta Apparel, Inc.",$144.88M,United States,n/a,Apparel,AMEX
DNN,Denison Mine Corp,$271.66M,Canada,n/a,Precious Metals,AMEX
DGSE,"DGSE Companies, Inc.",$6.39M,United States,n/a,Consumer Specialties,AMEX
DPW,Digital Power Corporation,$2.91M,United States,n/a,Industrial Machinery/Components,AMEX
DSS,"Document Security Systems, Inc.",$9.32M,United States,n/a,Containers/Packaging,AMEX
DMF,"Dreyfus Municipal Income, Inc.",$199.57M,United States,1988,n/a,AMEX
DXI,DXI Energy Inc.,$7.69M,Canada,n/a,Oil & Gas Production,AMEX
GRF,"Eagle Capital Growth Fund, Inc.",$25.75M,United States,n/a,n/a,AMEX
ESTE,"Earthstone Energy, Inc.",$174.46M,United States,n/a,Oil & Gas Production,AMEX
EVM,Eaton Vance California Municipal Bond Fund,$274.02M,United States,2002,n/a,AMEX
EIA,Eaton Vance California Municipal Bond Fund II,$51.68M,United States,2002,n/a,AMEX
CEV,Eaton Vance California Municipal Income Trust,$102.8M,United States,1999,n/a,AMEX
EVV,Eaton Vance Limited Duration Income Fund,$1.5B,United States,2003,n/a,AMEX
MAB,Eaton Vance Massachusetts Municipal Bond Fund,$26.2M,United States,2002,n/a,AMEX
MMV,Eaton Vance Massachusetts Municipal Income Trust,$40.51M,United States,1999,n/a,AMEX
MIW,Eaton Vance Michigan Municipal Bond Fund,$21.69M,United States,2002,n/a,AMEX
EMI,Eaton Vance Michigan Municipal Income Trust,$27.56M,United States,1999,n/a,AMEX
EIM,Eaton Vance Municipal Bond Fund,$900.5M,United States,2002,n/a,AMEX
EIV,Eaton Vance Municipal Bond Fund II,$134.08M,United States,2002,n/a,AMEX
EMJ,Eaton Vance New Jersey Municipal Bond Fund,$36.39M,United States,2002,n/a,AMEX
EVJ,Eaton Vance New Jersey Municipal Income Trust,$59.82M,United States,1999,n/a,AMEX
